pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
19,Alolan Rattata,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
20,Raticate,1,Normal,Mouse Pokémon,1,Normal,Does not have,0.7,18.5,3,Run Away,Guts,Hustle,55,81,60,50,70,97,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,Alolan Raticate,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,Does not have,Sniper,40,60,30,31,31,70,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,Fearow,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,Does not have,Sniper,65,90,65,61,61,100,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,Ekans,1,Normal,Snake Pokémon,1,Poison,Does not have,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,Arbok,1,Normal,Cobra Pokémon,1,Poison,Does not have,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,Does not have,0.4,6.0,2,Static,Does not have,Lightning Rod,35,55,40,50,50,90,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Partner Pikachu,1,Normal,Mouse Pokémon,1,Electric,Does not have,0.4,6.0,1,Does not have,Does not have,Lightning Rod,45,80,50,75,60,120,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,1,Normal,Mouse Pokémon,1,Electric,Does not have,0.8,30.0,2,Static,Does not have,Lightning Rod,60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Alolan Raichu,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,Does not have,Does not have,60,85,50,95,85,110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,1,Normal,Mouse Pokémon,1,Ground,Does not have,0.6,12.0,2,Sand Veil,Does not have,Sand Rush,50,75,85,20,30,40,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
27,Alolan Sandshrew,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40.0,2,Snow Cloak,Does not have,Slush Rush,50,75,90,10,35,40,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
28,Sandslash,1,Normal,Mouse Pokémon,1,Ground,Does not have,1.0,29.5,2,Sand Veil,Does not have,Sand Rush,75,100,110,45,55,65,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,Alolan Sandslash,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55.0,2,Snow Cloak,Does not have,Slush Rush,75,100,120,25,65,65,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,Does not have,0.4,7.0,3,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,Does not have,0.8,20.0,3,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,Does not have,0.5,9.0,3,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,Does not have,0.9,19.5,3,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
34,Nidoking,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,Does not have,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,Does not have,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
37,Vulpix,1,Normal,Fox Pokémon,1,Fire,Does not have,0.6,9.9,2,Flash Fire,Does not have,Drought,38,41,40,50,65,65,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
37,Alolan Vulpix,1,Normal,Fox Pokémon,1,Ice,Does not have,0.6,9.9,2,Snow Cloak,Does not have,Snow Warning,38,41,40,50,65,65,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Ninetales,1,Normal,Fox Pokémon,1,Fire,Does not have,1.1,19.9,2,Flash Fire,Does not have,Drought,73,76,75,81,100,100,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,Does not have,Snow Warning,73,67,75,81,100,109,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
41,Zubat,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,Does not have,Infiltrator,40,45,35,30,40,55,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
42,Golbat,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,Does not have,Infiltrator,75,80,70,65,75,90,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
43,Oddish,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,Does not have,Run Away,45,50,55,75,65,30,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,Gloom,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,Does not have,Stench,60,65,70,85,75,40,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
45,Vileplume,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,Does not have,Effect Spore,75,80,85,110,90,50,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
46,Paras,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
48,Venonat,1,Normal,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
50,Diglett,1,Normal,Mole Pokémon,1,Ground,Does not have,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,Does not have,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,Does not have,0.4,4.2,3,Pickup,Technician,Unnerve,40,45,35,40,40,90,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,Does not have,0.4,4.2,3,Pickup,Technician,Rattled,40,35,35,50,40,90,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,Does not have,0.4,7.5,3,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,Does not have,1.0,32.0,3,Limber,Technician,Unnerve,65,70,60,65,65,115,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,Does not have,1.1,33.0,3,Fur Coat,Technician,Rattled,65,60,60,75,65,115,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
54,Psyduck,1,Normal,Duck Pokémon,1,Water,Does not have,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
55,Golduck,1,Normal,Duck Pokémon,1,Water,Does not have,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,Does not have,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,Does not have,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,Does not have,0.7,19.0,3,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,Does not have,1.9,155.0,3,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,Does not have,0.6,12.4,3,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,Does not have,1.0,20.0,3,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
63,Abra,1,Normal,Psi Pokémon,1,Psychic,Does not have,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,Does not have,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,Does not have,1.5,48.0,3,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
66,Machop,1,Normal,Superpower Pokémon,1,Fighting,Does not have,0.8,19.5,3,Guts,No Guard,Steadfast,70,80,50,35,35,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,Does not have,1.5,70.5,3,Guts,No Guard,Steadfast,80,100,70,50,60,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,Does not have,1.6,130.0,3,Guts,No Guard,Steadfast,90,130,80,65,85,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
69,Bellsprout,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4.0,2,Chlorophyll,Does not have,Gluttony,50,75,35,70,30,40,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
70,Weepinbell,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.0,6.4,2,Chlorophyll,Does not have,Gluttony,65,90,50,85,45,55,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
71,Victreebel,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,Does not have,Gluttony,80,105,65,100,70,70,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
72,Tentacool,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
73,Tentacruel,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55.0,3,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
74,Geodude,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20.0,3,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
74,Alolan Geodude,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Graveler,1,Normal,Rock Pokémon,2,Rock,Ground,1.0,105.0,3,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
75,Alolan Graveler,1,Normal,Rock Pokémon,2,Rock,Electric,1.0,110.0,3,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,Golem,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300.0,3,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
76,Alolan Golem,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316.0,3,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
